OPTIC Original,,Proposed Description,Notes,Charlotte Comments
,,,,
,Alfred Place Tribunals,Alfred-Place-Trib,Alfred Place Tribunals,,
,Croydon County,Bromley-CrC,Bromley Crown Court,,
,Croydon County,Croydon-CCFC,Croydon County Court and Family Court,,
,Croydon Crown,Croydon-CrC,Croydon Crown Court,,
,Croydon Employment Tribunal,Croydon-ETrib,Croydon Employment Tribunal,,
,Field House Tribunals,Field-House-Trib,Field House Tribunals,,
,Kingston Upon Thames Crown,Kingston-Upon-Thames-CrC,Kingston Upon Thames Crown Court,,
,Harrow Crown,Harrow-CrC,Harrow Crown Court,,
,Hatton Cross Tribunals,Hatton-Cross-Trib,Hatton Cross Tribunals,,
,Import Building – East London Tribunals,East-London-Trib,Import Building – East London Tribunals,,
,Snaresbrook Crown,Snaresbrook-CrC,Snaresbrook Crown Court,,
,Thames Magistrates,Thames-Mag,Thames Magistrates' Court,,